2	2023-03-12T10:31:00.918246706-0400	136.160.215.194	00:50:56:86:02:65	00:50:56:86:cb:fc
4	2023-03-12T10:31:00.965612605-0400	136.160.215.194	00:50:56:86:02:65	00:50:56:86:cb:fc
5	2023-03-12T10:31:00.984518727-0400	136.160.215.1	00:50:56:86:cb:fc	00:50:56:86:02:65
7	2023-03-12T10:31:01.017147194-0400	136.160.215.1	00:1b:17:00:0a:30	00:50:56:86:cb:fc
9	2023-03-12T10:31:01.065094271-0400	136.160.215.1	00:1b:17:00:0a:30	00:50:56:86:cb:fc
10	2023-03-12T10:31:01.080525838-0400	136.160.215.194	00:50:56:86:cb:fc	00:1b:17:00:0a:30
13	2023-03-12T10:31:04.113978722-0400	136.160.215.194	00:50:56:86:02:65	00:50:56:86:cb:fc
14	2023-03-12T10:31:04.149202192-0400	136.160.215.1	00:50:56:86:cb:fc	00:50:56:86:02:65
16	2023-03-12T10:31:04.189155255-0400	136.160.215.1	00:1b:17:00:0a:30	00:50:56:86:cb:fc
17	2023-03-12T10:31:04.221490977-0400	136.160.215.194	00:50:56:86:cb:fc	00:1b:17:00:0a:30
19	2023-03-12T10:31:07.253520150-0400	136.160.215.194	00:50:56:86:02:65	00:50:56:86:cb:fc
20	2023-03-12T10:31:07.284932734-0400	136.160.215.1	00:50:56:86:cb:fc	00:50:56:86:02:65
22	2023-03-12T10:31:07.317111543-0400	136.160.215.1	00:1b:17:00:0a:30	00:50:56:86:cb:fc
23	2023-03-12T10:31:07.349179509-0400	136.160.215.194	00:50:56:86:cb:fc	00:1b:17:00:0a:30
25	2023-03-12T10:31:08.001977051-0400	136.160.215.194	00:50:56:86:02:65	00:50:56:86:cb:fc
27	2023-03-12T10:31:08.033160680-0400	136.160.215.1	00:1b:17:00:0a:30	00:50:56:86:cb:fc
28	2023-03-12T10:31:08.069117584-0400	136.160.215.1	00:1b:17:00:0a:30	00:50:56:86:02:65
30	2023-03-12T10:31:08.101112001-0400	136.160.215.1	00:1b:17:00:0a:30	00:50:56:86:cb:fc
32	2023-03-12T10:31:08.133606234-0400	136.160.215.194	00:50:56:86:02:65	00:50:56:86:cb:fc
33	2023-03-12T10:31:08.165048877-0400	136.160.215.194	00:50:56:86:02:65	00:1b:17:00:0a:30
